,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
LP/EP,1246.0,1356.0,1485.0,1663.0,2195.1,2473.3,2057.0,2200.0,2341.7,1925.1,1689.0,1548.8,1280.5,983.0,793.1,532.2,220.3,86.5,28.4,13.5,10.6,17.8,25.1,36.8,33.3,34.0,31.8,27.7,27.4,20.5,21.7,19.3,14.2,15.7,22.9,56.7,63.8,88.9,119.4,160.7,210.7,314.9,416.2
Vinyl Single,190.0,194.0,211.5,245.1,245.1,260.3,353.6,250.0,256.4,283.0,269.3,298.7,281.0,228.1,203.3,180.4,116.4,94.4,63.9,66.4,51.2,47.2,46.7,47.5,35.6,25.7,27.9,26.3,31.4,24.9,21.5,19.9,13.2,9.9,4.0,2.9,2.5,2.3,4.6,4.7,3.0,5.9,6.1
8-Track,489.0,549.2,583.0,678.2,811.0,948.0,684.3,527.0,313.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cassette,76.0,87.2,98.8,145.7,249.6,449.8,580.6,705.0,1062.8,1384.5,1810.9,2383.9,2411.5,2499.5,2959.7,3385.1,3345.8,3472.4,3019.6,3116.3,2915.8,2976.4,2303.6,1905.3,1522.7,1419.9,1061.6,626.0,363.4,209.8,108.1,23.7,13.1,3.7,3.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cassette Single,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.3,57.3,194.6,257.9,230.4,298.8,298.5,274.9,236.3,189.3,133.5,94.4,48.0,4.6,-5.3,-1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Tapes,15.6,13.3,10.2,5.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.2,103.3,389.5,930.1,1593.6,2089.9,2587.7,3451.6,4337.7,5326.6,6511.4,8464.5,9377.4,9934.7,9915.1,11416.0,12816.3,13214.5,12909.4,12044.1,11232.9,11446.5,10520.2,9372.6,7452.3,5471.3,4318.8,3389.4,3100.7,2485.6,2140.9,1832.6,1520.8
CD Single,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7,6.0,35.1,45.1,45.8,56.1,110.9,184.1,272.7,213.2,222.4,142.7,79.4,19.6,36.0,15.0,10.9,7.7,12.2,3.5,3.1,2.9,3.5,3.2,2.5,3.8,1.2
Music Video,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.4,172.3,118.1,157.4,213.3,231.1,220.3,236.1,323.9,508.0,376.7,281.9,329.2,288.4,399.9,607.2,602.2,451.1,484.9,227.3,209.6,177.6,151.0,116.6,106.3,91.2,73.2
DVD Audio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,8.5,8.0,6.5,11.2,2.4,2.8,1.2,1.6,0.9,0.3,0.2,-0.5,2.1,5.4
