,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
LP/EP,6651.4,6519.2,6542.2,6927.2,8585.4,8991,6715.5,6328.1,6105.9,4728.3,4019.3,3533.1,2820.6,2125.8,1654.7,1066.3,421.1,156.9,51.2,22.8,17.4,28.5,39,55.6,49.2,49.4,45.2,38.1,36.7,27,28,24.2,17.2,18.5,26.2,62.4,70.5,96.6,125.8,165.9,214.4,315.3,416.2
Vinyl Single,1014.3,932.7,931.8,1021,958.6,946.3,1154.4,719.1,668.6,695.1,640.9,681.4,619,493.3,424.2,361.4,222.5,171.2,111.2,112.2,84,75.5,72.6,71.8,52.6,37.4,39.7,36.2,42,32.8,27.7,25,16,11.6,4.6,3.2,2.8,2.5,4.8,4.9,3,5.9,6.1
8-Track,2610.4,2640.4,2568.4,2825,3172,3446.2,2234,1515.9,816.1,88.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cassette,405.7,419.2,435.3,606.9,976.2,1635.1,1895.5,2027.9,2771.2,3400.5,4309.4,5438.2,5312,5405.3,6175.2,6782.1,6395.3,6297,5254.8,5264.6,4782.7,4760.2,3582.6,2878.2,2248.6,2064.7,1510.3,861.6,486.3,276.4,139.2,29.7,15.9,4.4,3.4,1,0,0,0,0,0,0,0
Other Tapes,83.3,63.9,44.9,21.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CD ,0,0,0,0,0,0,0,0,0,0,40.9,235.6,858,2011.4,3324.9,4187.2,4946.2,6259.3,7548.5,8998.4,10680.4,13537.3,14584,15007.6,14642,16599.9,18233.4,18188.5,17276.9,15868,14469.5,14362.2,12767.4,11019.2,8518.9,6023.1,4771.3,3684.1,3267.2,2566,2178.2,1834.8,1520.8
CD Single,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.6,-1.3,10.9,61.1,76.2,75.1,89.7,172.5,278.1,402.7,310,316.4,196.4,106.3,25.8,46.4,18.8,13.2,9.1,13.9,3.9,3.4,3.2,3.7,3.3,2.5,3.8,1.2
Music Video,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220.6,312.5,205.5,265.9,349.9,369.6,342.6,356.7,478.3,738.7,535.9,388,440.6,380,515.1,761.9,730.8,530.8,554.3,250.2,231.6,193,159.1,120.4,108.1,91.3,73.2
DVD Audio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,11.2,10.3,8.2,13.6,2.8,3.2,1.3,1.8,1,0.3,0.2,-0.5,2.1,5.4
SACD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.9,20.8,12.1,6.5,5.1,3.4,2.7,1.8,1.6,1.3,1,0.8,1.1
Download Single,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173.2,440.9,682.6,927.1,1136.3,1294.8,1452.6,1604.1,1676.1,1594.9,1409.5,1226.9
Download Album,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.1,164.7,324.4,568.6,699.4,822.3,948.3,1128.3,1243.8,1253.6,1152.3,1090.7
Kiosk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,2.2,3,2.9,7,7,2.8,3.8,6.3,2.6,3.7
Download Music Video,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,23.2,32.2,45.5,45.2,39.8,34.1,21.5,17,13.6,6.4
Ringtones & Ringbacks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,511.7,909.7,1206.9,1075.6,776.4,487,291,172.3,99.6,66.4,54.5
Paid Subscriptions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181.1,242.4,267.5,243.7,227.8,230.9,261.1,412.8,650.4,801.1,1218.9
SoundExchange,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.7,24.8,38.6,41.4,110.1,171.8,270.9,307.7,476.9,600.7,774.3,802.6
Synchronizaition,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222.3,205.1,207.1,196.8,193,189.9,202.9
On-Demand Streaming,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119.9,176.4,223.8,295.1,385.1
TOTAL,10765.1,10575.4,10522.6,11401.3,13692.2,15018.6,11999.4,10591,10361.8,8912.3,9010.5,9888.3,9609.6,10035.8,11579,12416.6,12204.4,13207.8,13232.3,14740.1,15989.5,18860.8,18793.3,18648,17873.4,19800.1,20680.9,19708.8,18396.8,16621.2,15270.1,15489.8,14915.1,13826,12176.3,9662,8651.7,7623.8,7518.6,7242.4,7146,6958.8,7015.7
