,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
LP/EP,280,276,257,273,344,341.3,290,308,295.2,243.9,209.6,204.6,167,125.2,107,72.4,34.6,11.7,4.8,2.3,1.2,1.9,2.2,2.9,2.7,3.4,2.9,2.2,2.3,1.7,1.5,1.4,1,0.9,1.3,2.9,3.5,4.2,5.5,6.9,9.4,13.2,16.9
Vinyl Single,228,204,164,190,190,190,212,157,154.7,137.2,124.8,131.5,120.7,93.9,82,65.6,36.6,27.6,22,19.8,15.1,11.7,10.2,10.1,7.5,5.4,5.3,4.8,5.5,4.4,3.8,3.5,2.3,1.5,0.6,0.4,0.3,0.3,0.4,0.4,0.3,0.5,0.5
8-Track,91,96.7,94.6,106.1,127.3,133.6,102.3,85,50,13.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cassette,15,15.3,16.2,21.8,36.9,61.3,78.5,99,124,183.2,236.8,332,339.1,344.5,410,450.1,446.2,442.2,360.1,366.4,339.5,345.4,272.6,225.3,172.6,158.5,123.6,76,45,31.1,17.2,5.2,2.5,0.7,0.4,0.1,0,0,0,0,0,0,0
Cassette Singles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.1,22.5,76.2,87.4,69,84.6,85.6,81.1,70.7,59.9,42.2,26.4,14.2,1.3,-1.5,-5,0,0,0,0,0,0,0,0,0,0,0,0,0
Other Tapes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CD,2.2,1.9,1.5,0.7,0,0,0,0,0,0,0.8,5.8,22.6,53,102.1,149.7,207.2,286.5,333.3,407.5,495.4,662.1,722.9,778.9,753.1,847,938.9,942.5,881.9,803.3,746,767,705.4,619.7,499.7,368.4,296.6,253,240.8,198.2,173.8,142.8,122.9
CD Single,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6,-0.1,1.1,5.7,7.3,7.8,9.3,21.5,43.2,66.7,56,55.9,34.2,17.3,4.5,8.3,3.1,2.8,1.7,2.6,0.7,0.9,1,1.3,1.1,0.6,1,0.4
Music Video,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.1,9.2,6.1,7.6,11,11.2,12.6,16.9,18.6,27.2,19.8,18.2,17.7,14.7,19.9,32.8,33.8,23.2,27.5,13.2,11.6,9.1,7.7,6,4.8,4.1,3.3
DVD Audio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.4,0.4,0.3,0.5,0.1,0.2,0,0.1,0,0,0,-0.1,0.1,0.2
SACD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3,0.8,0.5,0.3,0.2,0.1,0.1,0.1,0.1,0.1,0,0,0
Download Single,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139.4,366.9,586.4,819.4,1042.7,1124.4,1177.4,1332.3,1392.2,1327.9,1199.1,1021
Download Album,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.6,13.6,27.6,49.8,63.6,74.5,85.8,103.9,116.7,118,117.6,109.4
Kiosk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,1.4,1.8,1.6,1.7,1.7,1.3,2,3.7,1.6,2.2
Download Music Video,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9,9.9,14.2,20.8,20.5,18.4,16.3,10.5,8.4,6.8,3.2
Ringtones & Ringbacks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170,315,433.8,405.1,294.3,188.5,115.4,69.3,39.3,26.6,21.9
Paid Subscriptions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3,1.7,1.8,1.6,1.2,1.5,1.8,3.4,6.2,7.7,10.8
TOTAL,616.2,593.9,533.3,591.6,698.2,726.2,682.8,649,623.9,578,572,673.9,649.4,616.6,706.2,761.9,806.8,865.7,801,895.5,955.6,1122.7,1112.7,1137.2,1063.4,1123.9,1160.6,1079.2,968.5,855.1,798.4,958.1,1303.2,1590.1,1853.3,1921.2,1829.7,1741,1826.8,1806.8,1692.3,1521.1,1312.7
